Time	Time Code	Country Name	Country Code	Gvnt_health_exp	Food Deficit	Life expectancy	Nat_resources_rents
2010	YR2010	Afghanistan	AFG	2.25547064	158	61.226	0.732845131003678
2010	YR2010	Bangladesh	BGD	4.07121264	119	70.198	1.30914401250957
2010	YR2010	Bhutan	BTN	6.47776914		67.79	5.15527031787468
2010	YR2010	India	IND	3.16940536	115	66.625	4.67104198378064
2010	YR2010	Maldives	MDV	13.60358367	79	76.112	0.00896594438201804
2010	YR2010	Nepal	NPL	4.80281105	74	67.914	1.47075022044687
2010	YR2010	Pakistan	PAK	2.81115771	167	65.134	2.17322780492675
2010	YR2010	Sri Lanka	LKA	7.83482232	238	74.352	0.180674017820145
2010	YR2010	Albania	ALB	8.54831324		76.652	2.0701085001248
2010	YR2010	Andorra	AND	16.3655433			0
2010	YR2010	Armenia	ARM	6.44314801	43	73.331	2.99209032217788
2010	YR2010	Austria	AUT	14.51010854		80.5804878048781	0.215220189238034
2010	YR2010	Azerbaijan	AZE	4.1488416	23	70.987	30.5646177211379
2010	YR2010	Belarus	BLR	9.48643053		70.4048780487805	1.36026848435937
2010	YR2010	Belgium	BEL	15.18690844		80.1829268292683	0.0192009558245614
2010	YR2010	Bosnia and Herzegovina	BIH	12.45223004		75.905	2.65019716727332
2010	YR2010	Bulgaria	BGR	10.88766334		73.5121951219512	2.51933596546498
2010	YR2010	Channel Islands	CHI			80.145	
2010	YR2010	Croatia	HRV	14.62250053		76.4756097560976	0.687565337772168
2010	YR2010	Cyprus	CYP	7.24742588		79.43	0.0606877241543736
2010	YR2010	Czech Republic	CZE	13.46646374		77.4243902439025	0.90392716866485
2010	YR2010	Denmark	DNK	15.4814822		79.1	1.30583250474052
2010	YR2010	Estonia	EST	11.6396404		75.4292682926829	1.07694613444184
2010	YR2010	Faroe Islands	FRO			80.6365853658537	0
2010	YR2010	Finland	FIN	12.47336548		79.8707317073171	0.629973570634807
2010	YR2010	France	FRA	14.8726141		81.6634146341463	0.0554301644894013
2010	YR2010	Georgia	GEO	6.13881598	58	72.649	1.84684470117288
2010	YR2010	Germany	DEU	19.486737		79.9878048780488	0.159439615679372
2010	YR2010	Gibraltar	GIB				
2010	YR2010	Greece	GRC	12.57913266		80.3878048780488	0.320277329807885
2010	YR2010	Greenland	GRL			70.8570731707317	0
2010	YR2010	Hungary	HUN	10.24878166		74.2073170731707	0.449203401363718
2010	YR2010	Iceland	ISL	14.36090185		81.8975609756098	0
2010	YR2010	Ireland	IRL			80.7439024390244	0.132985238895544
2010	YR2010	Isle of Man	IMN				0
2010	YR2010	Italy	ITA	14.07980572		82.0365853658537	0.101210561157852
2010	YR2010	Kazakhstan	KAZ	13.02787104	21	68.2953658536585	23.0078877120192
2010	YR2010	Kosovo	XKX			69.9	4.12299776105431
2010	YR2010	Kyrgyz Republic	KGZ	9.20566578	61	69.3	11.2937749110841
2010	YR2010	Latvia	LVA	8.21907852		73.4829268292683	1.22947414446878
2010	YR2010	Liechtenstein	LIE			81.8414634146342	0.00924063538229507
2010	YR2010	Lithuania	LTU	11.55584164		73.2682926829268	0.527147956282872
2010	YR2010	Luxembourg	LUX	13.57847119		80.6317073170732	0.0700721058375408
2010	YR2010	Macedonia, FYR	MKD	13.44551895		74.632	4.49175255820929
2010	YR2010	Moldova	MDA	13.62477479		69.616	0.168067674256529
2010	YR2010	Monaco	MCO	9.16927957			0
2010	YR2010	Montenegro	MNE	8.2188642		75.28	1.03493156962806
2010	YR2010	Netherlands	NLD	17.83313768		80.7024390243902	0.481055055347587
2010	YR2010	Norway	NOR	16.76480378		80.9975609756098	8.0001233257447
2010	YR2010	Poland	POL			76.2463414634146	1.59392633569584
2010	YR2010	Portugal	PRT	13.22095175		79.0268292682927	0.259252566917591
2010	YR2010	Romania	ROU	11.52494397		73.4585365853659	1.54525179883149
2010	YR2010	Russian Federation	RUS	8.59383302		68.8412195121951	13.9447533683622
2010	YR2010	San Marino	SMR	12.61553729			0
2010	YR2010	Serbia	SRB	14.11921981		74.3365853658537	2.59450750713159
2010	YR2010	Slovak Republic	SVK	13.31027303		75.1121951219512	0.333328790592519
2010	YR2010	Slovenia	SVN	12.75585048		79.4219512195122	0.277155395575667
2010	YR2010	Spain	ESP	14.79004888		81.6268292682927	0.0652245820195403
2010	YR2010	Sweden	SWE	13.56783418		81.4512195121951	1.01349164635477
